Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
QB1,1,Josh Allen,BUF (7),1.02,1.01,1.03,0.8,1
QB2,2,Lamar Jackson,BAL (13),1.03,1.02,1.05,1.07,1
QB3,3,Drake Maye,NE (11),1.04,1.01,1.08,2.38,1
QB4,4,Joe Burrow,CIN (6),1.06,1.04,2.02,3.76,1
QB5,5,Jalen Hurts,PHI (10),1.06,1.02,1.1,2.75,1
RB1,6,Bijan Robinson,ATL (11),1.07,1.03,1.11,2.23,1
RB2,7,Jahmyr Gibbs,DET (6),1.07,1.01,1.11,3.65,1
QB6,8,Jayden Daniels,WAS (7),1.08,1.05,2.04,3.84,1
WR1,9,Ja'Marr Chase,CIN (6),1.09,1.04,2,2.84,1
WR2,10,Puka Nacua,LAR (11),1.11,1.01,2.02,4.68,1
WR3,11,Jaxon Smith-Njigba,SEA (11),2.01,1.07,2.05,3,1
QB7,12,Justin Herbert,LAC (7),2.02,1.06,3.04,7.28,1
RB3,13,Christian McCaffrey,SF (8),2.03,1.07,2.09,4.43,1
QB8,14,Caleb Williams,CHI (10),2.04,1.07,5,15.15,1
RB4,15,Jonathan Taylor,IND (13),2.05,1.11,3.03,4.61,1
WR4,16,Amon-Ra St. Brown,DET (6),2.05,2.01,2.08,2.59,1
QB9,17,Jaxson Dart,NYG (8),2.05,1.09,3,4.62,1
QB10,18,Trevor Lawrence,JAC (7),2.07,2,3.1,7.57,1
WR5,19,CeeDee Lamb,DAL (14),2.08,2.03,3,2.75,1
QB11,20,Dak Prescott,DAL (14),2.09,2.01,3.11,7.03,1
RB5,21,James Cook III,BUF (7),2.09,2.02,3.04,4.35,1
WR6,22,Justin Jefferson,MIN (6),2.1,2.03,3.03,3.79,1
QB12,23,Brock Purdy,SF (8),3,2.04,4,6.44,1
RB6,24,De'Von Achane,MIA (6),3,2,3.1,7.23,1
RB7,25,Ashton Jeanty,LV (13),3.01,2.03,3.06,5.21,1
WR7,26,Drake London,ATL (11),3.04,2.1,3.1,3.79,1
RB8,27,Saquon Barkley,PHI (10),3.05,2.09,3.1,4.42,1
QB13,28,Patrick Mahomes II,KC (5),3.06,2.1,4.05,7.03,1
RB9,29,Chase Brown,CIN (6),3.07,3,4.02,4.76,1
QB14,30,Matthew Stafford,LAR (11),3.08,2.09,4.08,7.2,1
QB15,31,Bo Nix,DEN (10),3.08,2.03,4.06,7.6,1
RB10,32,Omarion Hampton,LAC (7),3.09,3,4.03,4.76,1
WR8,33,Nico Collins,HOU (8),3.09,2.11,5,7.57,1
QB16,34,Jared Goff,DET (6),3.1,1.1,5.02,12.43,1
RB11,35,Kenneth Walker III,KC (5),3.11,3.01,4.08,5.65,1
RB12,36,Derrick Henry,BAL (13),4,3.02,5.01,7.36,1
TE1,37,Brock Bowers,LV (13),4,3.08,4.04,2.74,1
QB17,38,Kyler Murray,MIN (6),4.01,2.11,4.09,7.55,1
WR9,39,A.J. Brown,NE (11),4.04,3.06,5.01,6.35,1
WR10,40,George Pickens,DAL (14),4.04,3.08,5.03,6.22,1
TE2,41,Trey McBride,ARI (14),4.04,3.11,4.08,3.01,1
WR11,42,Rashee Rice,KC (5),4.04,3.05,5.03,7.3,1
RB13,43,Jeremiyah Love,ARI (14),4.05,3.01,4.11,7.6,1
WR12,44,Malik Nabers,NYG (8),4.05,2.08,5.09,12.78,1
WR13,45,Chris Olave,NO (8),4.07,3.04,5.02,5.8,1
RB14,46,Josh Jacobs,GB (11),4.1,4.01,5.04,5.47,1
WR14,47,DeVonta Smith,PHI (10),5,3.06,5.1,8.97,1
WR15,48,Zay Flowers,BAL (13),5.03,4.03,6.04,7.34,1
QB18,49,Jordan Love,GB (11),5.03,4.02,6.01,8.36,1
WR16,50,Tetairoa McMillan,CAR (5),5.03,4.06,6.07,7.31,1
RB15,51,Kyren Williams,LAR (11),5.04,4.08,6.05,5.32,1
RB16,52,Javonte Williams,DAL (14),5.04,4.06,7,8.8,1
RB17,53,Breece Hall,NYJ (13),5.06,4.1,6,4.8,1
QB19,54,Baker Mayfield,TB (10),5.06,2.11,6.08,11.86,1
