week,team,opponent,home_away
1,PHI,DAL,vs
1,DAL,PHI,@
1,LAC,KC,vs
1,KC,LAC,@
1,ATL,TB,vs
1,TB,ATL,@
1,CLE,CIN,vs
1,CIN,CLE,@
1,IND,MIA,vs
1,MIA,IND,@
1,JAX,CAR,vs
1,CAR,JAX,@
1,NE,LV,vs
1,LV,NE,@
1,NO,ARI,vs
1,ARI,NO,@
1,NYJ,PIT,vs
1,PIT,NYJ,@
1,WAS,NYG,vs
1,NYG,WAS,@
1,DEN,TEN,vs
1,TEN,DEN,@
1,SEA,SF,vs
1,SF,SEA,@
1,GB,DET,vs
1,DET,GB,@
1,LA,HOU,vs
1,HOU,LA,@
1,BUF,BAL,vs
1,BAL,BUF,@
1,CHI,MIN,vs
1,MIN,CHI,@
2,GB,WAS,vs
2,WAS,GB,@
2,BAL,CLE,vs
2,CLE,BAL,@
2,CIN,JAX,vs
2,JAX,CIN,@
2,DAL,NYG,vs
2,NYG,DAL,@
2,DET,CHI,vs
2,CHI,DET,@
2,MIA,NE,vs
2,NE,MIA,@
2,NO,SF,vs
2,SF,NO,@
2,NYJ,BUF,vs
2,BUF,NYJ,@
2,PIT,SEA,vs
2,SEA,PIT,@
2,TEN,LA,vs
2,LA,TEN,@
2,ARI,CAR,vs
2,CAR,ARI,@
2,IND,DEN,vs
2,DEN,IND,@
2,KC,PHI,vs
2,PHI,KC,@
2,MIN,ATL,vs
2,ATL,MIN,@
2,HOU,TB,vs
2,TB,HOU,@
2,LV,LAC,vs
2,LAC,LV,@
3,BUF,MIA,vs
3,MIA,BUF,@
3,CAR,ATL,vs
3,ATL,CAR,@
3,CLE,GB,vs
3,GB,CLE,@
3,JAX,HOU,vs
3,HOU,JAX,@
3,MIN,CIN,vs
3,CIN,MIN,@
3,NE,PIT,vs
3,PIT,NE,@
3,PHI,LA,vs
3,LA,PHI,@
3,TB,NYJ,vs
3,NYJ,TB,@
3,TEN,IND,vs
3,IND,TEN,@
3,WAS,LV,vs
3,LV,WAS,@
3,LAC,DEN,vs
3,DEN,LAC,@
3,SEA,NO,vs
3,NO,SEA,@
3,CHI,DAL,vs
3,DAL,CHI,@
3,SF,ARI,vs
3,ARI,SF,@
3,NYG,KC,vs
3,KC,NYG,@
3,BAL,DET,vs
3,DET,BAL,@
4,ARI,SEA,vs
4,SEA,ARI,@
4,PIT,MIN,vs
4,MIN,PIT,@
4,ATL,WAS,vs
4,WAS,ATL,@
4,BUF,NO,vs
4,NO,BUF,@
4,DET,CLE,vs
4,CLE,DET,@
4,HOU,TEN,vs
4,TEN,HOU,@
4,NE,CAR,vs
4,CAR,NE,@
4,NYG,LAC,vs
4,LAC,NYG,@
4,TB,PHI,vs
4,PHI,TB,@
4,LA,IND,vs
4,IND,LA,@
4,SF,JAX,vs
4,JAX,SF,@
4,KC,BAL,vs
4,BAL,KC,@
4,LV,CHI,vs
4,CHI,LV,@
4,DAL,GB,vs
4,GB,DAL,@
4,MIA,NYJ,vs
4,NYJ,MIA,@
4,DEN,CIN,vs
4,CIN,DEN,@
5,LA,SF,vs
5,SF,LA,@
5,CLE,MIN,vs
5,MIN,CLE,@
5,BAL,HOU,vs
5,HOU,BAL,@
5,CAR,MIA,vs
5,MIA,CAR,@
5,IND,LV,vs
5,LV,IND,@
5,NO,NYG,vs
5,NYG,NO,@
5,NYJ,DAL,vs
5,DAL,NYJ,@
5,PHI,DEN,vs
5,DEN,PHI,@
5,ARI,TEN,vs
5,TEN,ARI,@
5,SEA,TB,vs
5,TB,SEA,@
5,CIN,DET,vs
5,DET,CIN,@
5,LAC,WAS,vs
5,WAS,LAC,@
5,BUF,NE,vs
5,NE,BUF,@
5,JAX,KC,vs
5,KC,JAX,@
6,NYG,PHI,vs
6,PHI,NYG,@
6,NYJ,DEN,vs
6,DEN,NYJ,@
6,BAL,LA,vs
6,LA,BAL,@
6,CAR,DAL,vs
6,DAL,CAR,@
6,IND,ARI,vs
6,ARI,IND,@
6,JAX,SEA,vs
6,SEA,JAX,@
6,MIA,LAC,vs
